Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
143,-3,4,-21,-1,-1,0,1,-3
144,-2,4,-19,1,-1,1,2,-2
145,0,4,-18,3,0,2,2,-1
146,1,4,-16,5,1,3,3,1
147,2,4,-15,7,1,4,3,2
148,3,4,-15,9,2,4,2,3
149,3,4,-15,10,3,4,2,4
150,3,4,-14,10,4,4,1,4
151,2,3,-12,9,5,7,0,5
152,1,3,-8,8,7,11,-1,5
153,-1,4,-3,6,7,14,-2,5
154,-2,4,0,5,7,17,-3,6
155,-2,4,1,4,7,17,-3,6
156,-1,3,2,4,6,15,-4,6
157,0,3,3,4,5,13,-4,6
158,1,2,2,4,4,11,-4,6
159,1,2,2,4,3,9,-3,5
160,1,1,2,3,3,8,-2,4
161,2,-1,4,3,2,8,-1,2
162,2,-2,8,3,1,9,0,0
163,3,-4,11,2,1,10,1,-2
164,4,-6,15,2,0,12,1,-3
165,4,-8,17,1,0,13,-1,-4
166,4,-8,16,1,-1,13,-1,-4
167,4,-8,14,1,-1,13,-2,-4
168,4,-8,12,1,-2,13,-2,-4
169,4,-8,11,2,-2,12,-2,-4
170,5,-8,10,3,-2,11,-2,-5
171,6,-7,9,4,-1,11,-1,-4
172,8,-6,8,6,0,11,0,-4
173,9,-5,8,7,2,13,1,-2
174,9,-3,9,8,4,14,2,-1
175,9,0,10,9,6,16,3,1
176,8,3,12,10,8,17,5,3
177,8,5,14,11,10,17,6,4
178,8,8,18,12,11,18,7,6
179,8,11,23,12,13,20,7,7
180,7,14,27,11,13,22,7,9
181,6,16,30,10,13,24,5,11
182,5,16,32,8,12,26,3,11
183,4,13,31,5,11,27,1,10
184,4,10,30,3,9,29,-1,9
185,3,7,29,1,8,31,-3,6
186,2,4,28,-1,6,33,-4,4
187,1,1,28,-3,4,34,-6,1
188,-1,-1,28,-5,3,34,-6,-2
189,-2,-3,28,-6,1,33,-5,-3
190,-2,-4,26,-6,-1,32,-4,-5
191,-2,-5,23,-6,-2,32,-2,-6
192,-2,-5,22,-5,-3,33,-1,-6
193,-1,-4,21,-5,-3,33,1,-6
194,-1,-2,20,-4,-4,33,2,-5
195,-1,0,20,-3,-4,32,2,-4
196,1,2,17,-3,-4,29,3,-3
197,2,3,14,-2,-3,26,4,-2
198,3,4,10,-1,-2,24,4,-1
199,3,6,6,1,-2,22,5,0
200,4,7,3,3,-1,22,5,2
201,5,9,0,4,0,22,6,3
202,5,11,-1,6,2,23,7,4
203,6,11,-1,7,4,24,8,5
204,6,11,1,9,5,24,8,7
205,6,11,4,9,6,24,8,8
206,6,10,9,9,6,25,8,9
207,6,10,14,9,6,26,7,9
208,6,9,20,9,5,27,7,9
209,6,8,24,8,5,29,6,8
210,5,7,27,7,4,31,6,7
211,4,6,31,6,3,33,5,6
212,3,4,34,5,2,35,3,5
213,1,2,36,3,0,37,1,4
214,0,1,40,0,-1,38,-1,3
215,-1,-1,43,-2,-1,39,-2,3
216,-1,-2,46,-4,-2,39,-2,2
217,-1,-4,49,-5,-2,39,-2,1
218,-1,-6,53,-6,-3,40,-2,-1
219,0,-7,56,-5,-3,41,-2,-2
220,1,-8,57,-5,-3,41,-2,-3
221,2,-7,56,-3,-3,39,-1,-3
222,3,-6,53,-1,-3,38,1,-2
223,5,-4,52,2,-2,39,2,-1
224,6,-1,51,5,0,39,4,1
225,7,2,51,7,1,40,6,3
226,7,5,51,9,2,41,7,5
227,7,7,52,10,3,41,8,7
228,7,9,54,11,3,41,8,8
229,6,10,55,11,4,40,7,9
230,6,11,56,11,3,38,6,10
231,5,10,55,10,3,35,5,10
232,5,9,53,9,3,31,5,10
233,5,8,49,8,3,26,5,10
234,5,6,46,6,4,21,5,9
235,5,4,41,5,4,17,5,7
